Date,AAPL,AMZN,GOOGL,MSFT
2016-06-01,22.72861671447754,35.97200012207031,37.42300033569336,47.83180236816406
2016-06-02,22.55779457092285,36.4119987487793,37.2135009765625,47.49692153930664
2016-06-03,22.603961944580078,36.277000427246094,36.792999267578125,46.8724479675293
2016-06-06,22.767858505249023,36.33649826049805,36.50299835205078,47.18015670776367
2016-06-07,22.860197067260742,36.1870002746582,36.554500579833984,47.15299987792969
2016-06-08,22.839426040649414,36.332000732421875,37.14649963378906,47.09870529174805
2016-06-09,23.00331687927246,36.38249969482422,37.125999450683594,46.71857452392578
2016-06-10,22.814023971557617,35.89550018310547,36.65950012207031,46.59187698364258
2016-06-13,22.470073699951172,35.762001037597656,36.59400177001953,45.379119873046875
2016-06-14,22.49777603149414,35.96500015258789,36.662498474121094,45.098548889160156
2016-06-15,22.42390251159668,35.7130012512207,36.609500885009766,44.971839904785156
2016-06-16,22.5185489654541,35.8754997253418,36.212501525878906,45.605369567871094
2016-06-17,22.006086349487305,35.31949996948242,35.212501525878906,45.370059967041016
2016-06-20,21.952985763549805,35.70050048828125,35.30649948120117,45.315765380859375
2016-06-21,22.13997459411621,35.79100036621094,35.444000244140625,46.32942199707031
2016-06-22,22.05687141418457,35.529998779296875,35.52349853515625,46.148406982421875
2016-06-23,22.183828353881836,36.104000091552734,35.743499755859375,46.981040954589844
2016-06-24,21.560556411743164,34.948001861572266,34.2599983215332,45.098548889160156
2016-06-27,21.246620178222656,34.56800079345703,34.05699920654297,43.83147430419922
2016-06-28,21.60441780090332,35.397499084472656,34.5629997253418,44.74557876586914
2016-06-29,21.791400909423828,35.779998779296875,34.759498596191406,45.74113464355469
2016-06-30,22.068410873413086,35.78099822998047,35.17649841308594,46.311309814453125
2016-07-01,22.13535499572754,36.284000396728516,35.51250076293945,46.30226135253906
2016-07-05,21.927595138549805,36.404998779296875,35.24449920654297,46.311309814453125
2016-07-06,22.0522518157959,36.88050079345703,35.44850158691406,46.501373291015625
